Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Torasemid_3145_p,14.34,Target Compound,BF_S3_2,42036595,51255719,0.82,14.36,Processed,,Unknown,1764.823,T1,,52,1,BF_S3_2,,7544515,0.02,C16H20N4O3S,M+H,N/A,1764.823,N/A,349.1329,349.1325,-1.1247 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S2_2,42519185,52560878,0.809,14.36,Processed,,Unknown,1740.991,T1,,53,1,BF_S2_2,,7994311,0.02,C16H20N4O3S,M+H,N/A,1740.991,N/A,349.1329,349.1327,-.6003 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S1_2,39971209,50106412,0.798,14.36,Processed,,Unknown,1717.071,T1,,54,1,BF_S1_2,,7744513,0.02,C16H20N4O3S,M+H,N/A,1717.071,N/A,349.1329,349.1327,-.6877 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S5_3,13573584,54136885,0.251,14.36,Processed,,Unknown,551.422,T1,,55,1,BF_S5_3,,2703937,0.02,C16H20N4O3S,M+H,N/A,551.422,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S4_3,14341363,52380206,0.274,14.37,Processed,,Unknown,600.577,T1,,56,1,BF_S4_3,,2938480,0.03,C16H20N4O3S,M+H,N/A,600.577,N/A,349.1329,349.1326,-.8625 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S3_3,42875591,52384558,0.818,14.34,Processed,,Unknown,1761.292,T1,,57,1,BF_S3_3,,8722381,0.00,C16H20N4O3S,M+H,N/A,1761.292,N/A,349.1329,349.1326,-.7751 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S2_3,43428710,51878539,0.837,14.38,Processed,,Unknown,1801.025,T1,,58,1,BF_S2_3,,7749796,0.04,C16H20N4O3S,M+H,N/A,1801.025,N/A,349.1329,349.1328,-.4254 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S1_3,40764736,50464563,0.808,14.36,Processed,,Unknown,1738.515,T1,,59,1,BF_S1_3,,8378477,0.02,C16H20N4O3S,M+H,N/A,1738.515,N/A,349.1329,349.1324,-1.3869 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,Cal8_3,70178703,21498289,3.264,14.35,Processed,,Unknown,6973.493,T1,,60,1,Cal8_3,,12894973,0.01,C16H20N4O3S,M+H,N/A,6973.493,N/A,349.1329,349.1324,-1.4744 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S5_4,78575086,55713566,1.41,14.35,Processed,,Unknown,3022.544,T1,,61,1,BF_S5_4,,14847344,0.01,C16H20N4O3S,M+H,N/A,3022.544,N/A,349.1329,349.1324,-1.5618 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S4_4,73989110,53214457,1.39,14.37,Processed,,Unknown,2980.041,T1,,62,1,BF_S4_4,,14709351,0.03,C16H20N4O3S,M+H,N/A,2980.041,N/A,349.1329,349.1324,-1.2995 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S3_4,96814201,49240762,1.966,14.36,Processed,,Unknown,4206.946,T1,,63,1,BF_S3_4,,18932086,0.02,C16H20N4O3S,M+H,N/A,4206.946,N/A,349.1329,349.1323,-1.6492 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S2_4,109553521,54920271,1.995,14.36,Processed,,Unknown,4267.966,T1,,64,1,BF_S2_4,,19076856,0.02,C16H20N4O3S,M+H,N/A,4267.966,N/A,349.1329,349.1322,-2.0862 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S1_4,98010702,49243476,1.99,14.35,Processed,,Unknown,4258.493,T1,,65,1,BF_S1_4,,18369720,0.01,C16H20N4O3S,M+H,N/A,4258.493,N/A,349.1329,349.1326,-.8625 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S5_5,140906196,52095271,2.705,14.38,Processed,,Unknown,5780.978,T1,,66,1,BF_S5_5,,25210046,0.04,C16H20N4O3S,M+H,N/A,5780.978,N/A,349.1329,349.1327,-.5128 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S4_5,162121798,50076351,3.237,14.35,Processed,,Unknown,6916.184,T1,,67,1,BF_S4_5,,33474408,0.01,C16H20N4O3S,M+H,N/A,6916.184,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S3_5,169936913,50903885,3.338,14.34,Processed,,Unknown,7131.191,T1,,68,1,BF_S3_5,,32124494,0.00,C16H20N4O3S,M+H,N/A,7131.191,N/A,349.1329,349.1327,-.6877 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S2_5,169361080,47307243,3.58,14.33,Processed,,Unknown,7646.116,T1,,69,1,BF_S2_5,,33932580,-0.01,C16H20N4O3S,M+H,N/A,7646.116,N/A,349.1329,349.1327,-.5128 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S1_5,140749300,46555483,3.023,14.33,Processed,,Unknown,6459.656,T1,,70,1,BF_S1_5,,26466260,-0.01,C16H20N4O3S,M+H,N/A,6459.656,N/A,349.1329,349.1327,-.6877 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,Cal20_5,199655217,21686023,9.207,14.35,Processed,,Unknown,19636.349,T1,,71,1,Cal20_5,,38195136,0.01,C16H20N4O3S,M+H,N/A,19636.349,N/A,349.1329,349.1324,-1.2995 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S5_6,138738821,50001407,2.775,14.33,Processed,,Unknown,5929.975,T1,,72,1,BF_S5_6,,24652862,-0.01,C16H20N4O3S,M+H,N/A,5929.975,N/A,349.1329,349.1326,-.9499 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S4_6,141194037,49529172,2.851,14.32,Processed,,Unknown,6091.987,T1,,73,1,BF_S4_6,,24229380,-0.02,C16H20N4O3S,M+H,N/A,6091.987,N/A,349.1329,349.1326,-.9499 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,BF_S3_6,161872747,48124771,3.364,14.34,Processed,,Unknown,7184.93,T1,,74,1,BF_S3_6,,29783424,0.00,C16H20N4O3S,M+H,N/A,7184.93,N/A,349.1329,349.1325,-1.1247 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
