Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Bisacodyl_10585_p,16.01,Target Compound,BF_S5_3,15387439,N/A,0,16.19,Processed,,Unknown,N/A,T1,,55,1,BF_S5_3,,3087386,0.18,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1384,-.9204 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S4_3,5977953,N/A,0,16.2,Processed,,Unknown,N/A,T1,,56,1,BF_S4_3,,1163577,0.19,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1384,-.7518 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S3_3,24327860,N/A,0,16.2,Processed,,Unknown,N/A,T1,,57,1,BF_S3_3,,4767026,0.19,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1384,-.8361 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S2_3,29341217,N/A,0,16.21,Processed,,Unknown,N/A,T1,,58,1,BF_S2_3,,5923404,0.20,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1384,-.8361 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S1_3,44405049,N/A,0,16.2,Processed,,Unknown,N/A,T1,,59,1,BF_S1_3,,9008884,0.19,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1384,-.8361 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,Cal8_3,67561247,N/A,0,16.2,Processed,,Unknown,N/A,T1,,60,1,Cal8_3,,12693471,0.19,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1379,-2.1844 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S5_4,76183486,N/A,0,16.18,Processed,,Unknown,N/A,T1,,61,1,BF_S5_4,,15173375,0.17,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1383,-1.1732 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S4_4,27247502,N/A,0,16.2,Processed,,Unknown,N/A,T1,,62,1,BF_S4_4,,5365531,0.19,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1384,-.9204 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S3_4,56427074,N/A,0,16.22,Processed,,Unknown,N/A,T1,,63,1,BF_S3_4,,11046218,0.21,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1382,-1.4260 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S2_4,90544133,N/A,0,16.2,Processed,,Unknown,N/A,T1,,64,1,BF_S2_4,,17699322,0.19,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1382,-1.5103 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S1_4,105010524,N/A,0,16.2,Processed,,Unknown,N/A,T1,,65,1,BF_S1_4,,21207636,0.19,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1381,-1.5945 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S5_5,145983013,N/A,0,16.23,Processed,,Unknown,N/A,T1,,66,1,BF_S5_5,,28247098,0.22,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1383,-1.0046 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S4_5,58514940,N/A,0,16.09,Processed,,Unknown,N/A,T1,,67,1,BF_S4_5,,12289191,0.08,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1384,-.7518 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S3_5,79482441,N/A,0,16.09,Processed,,Unknown,N/A,T1,,68,1,BF_S3_5,,14496648,0.08,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1386,-.3305 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S2_5,169969570,N/A,0,16.08,Processed,,Unknown,N/A,T1,,69,1,BF_S2_5,,32643108,0.07,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1385,-.4990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S1_5,162357219,N/A,0,16.07,Processed,,Unknown,N/A,T1,,70,1,BF_S1_5,,32193970,0.06,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1382,-1.3417 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,Cal20_5,201624831,N/A,0,16.1,Processed,,Unknown,N/A,T1,,71,1,Cal20_5,,43547560,0.09,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1383,-1.1732 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S5_6,142380200,N/A,0,16.1,Processed,,Unknown,N/A,T1,,72,1,BF_S5_6,,28583674,0.09,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1383,-1.1732 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.01,Target Compound,BF_S4_6,60588409,N/A,0,16.09,Processed,,Unknown,N/A,T1,,73,1,BF_S4_6,,12161983,0.08,C22H19NO4,M+H,N/A,N/A,N/A,362.1387,362.1383,-1.0889 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
